Customer_ID,Signup_Date,Plan,Customer_Segment,City,State,Acquisition_Channel,Monthly_Revenue_INR,Subscription_Status,Churn_Date,Usage_Hours,Support_Tickets
CUST-0001,2023-08-17,Basic,Startup,Chennai,Tamil Nadu,Organic,1200,Active,,31.8,1
CUST-0002,2025-05-14,Basic,Startup,Chennai,Tamil Nadu,Google Ads,1100,Active,,26.5,8
CUST-0003,2025-05-09,Basic,SMB,Bengaluru,Karnataka,LinkedIn,1300,Active,,15.2,2
CUST-0004,2024-03-16,Enterprise,Enterprise,Pune,Maharashtra,Referral,48500,Active,,140.6,0
CUST-0005,2025-07-29,Pro,Enterprise,Chandigarh,Chandigarh,Organic,7400,Active,,63.3,5
CUST-0006,2024-01-29,Pro,Startup,Chennai,Tamil Nadu,LinkedIn,5700,Active,,80.7,6
CUST-0007,2024-07-23,Pro,Enterprise,Noida,Uttar Pradesh,Referral,6700,Active,,69.1,1
CUST-0008,2023-12-17,Pro,Startup,Coimbatore,Tamil Nadu,Referral,12600,Active,,59.0,5
CUST-0009,2023-04-25,Basic,Startup,Jaipur,Rajasthan,Referral,1100,Churned,2024-12-15,35.3,7
CUST-0010,2024-03-11,Pro,SMB,Coimbatore,Tamil Nadu,Organic,6100,Active,,59.3,4
CUST-0011,2025-05-27,Enterprise,Enterprise,Chennai,Tamil Nadu,Sales,34100,Active,,63.6,0
CUST-0012,2023-08-13,Basic,Startup,Indore,Madhya Pradesh,Google Ads,1800,Churned,2024-12-24,22.1,10
CUST-0013,2023-01-24,Pro,Startup,Bhopal,Madhya Pradesh,LinkedIn,11300,Active,,27.8,6
CUST-0014,2023-11-20,Pro,Enterprise,Kolkata,West Bengal,Sales,11200,Active,,83.9,4
CUST-0015,2025-11-05,Pro,Startup,Noida,Uttar Pradesh,Google Ads,11400,Active,,84.3,5
CUST-0016,2025-09-27,Basic,SMB,Ahmedabad,Gujarat,Organic,1500,Active,,33.4,1
CUST-0017,2025-09-22,Pro,Enterprise,Bhopal,Madhya Pradesh,LinkedIn,6000,Active,,86.3,2
CUST-0018,2024-06-26,Pro,SMB,Hyderabad,Telangana,Sales,11200,Active,,34.1,4
CUST-0019,2025-03-28,Enterprise,Enterprise,Coimbatore,Tamil Nadu,Sales,54600,Active,,83.7,5
CUST-0020,2023-02-13,Pro,Startup,Chennai,Tamil Nadu,Organic,10800,Active,,36.0,0
CUST-0021,2024-11-07,Basic,Startup,Nagpur,Maharashtra,Organic,1300,Active,,31.5,7
CUST-0022,2024-05-12,Pro,Enterprise,Hyderabad,Telangana,Organic,10400,Active,,49.7,7
CUST-0023,2023-04-21,Pro,Enterprise,Delhi,Delhi,Organic,11000,Active,,80.3,3
CUST-0024,2024-01-28,Basic,Startup,Indore,Madhya Pradesh,Organic,1900,Churned,2024-05-04,18.8,10
CUST-0025,2023-07-20,Basic,Enterprise,Bengaluru,Karnataka,Sales,1500,Churned,2024-12-18,20.3,8
CUST-0026,2023-05-01,Basic,Startup,Chandigarh,Chandigarh,Organic,1900,Churned,2025-05-03,38.4,10
CUST-0027,2025-09-23,Basic,Startup,Mumbai,Maharashtra,Google Ads,2100,Churned,2025-11-22,4.2,11
CUST-0028,2025-09-03,Pro,Enterprise,Noida,Uttar Pradesh,Organic,9200,Churned,2025-10-16,4.6,3
CUST-0029,2024-04-26,Basic,SMB,Visakhapatnam,Andhra Pradesh,Organic,2200,Churned,2024-08-07,17.9,11
CUST-0030,2025-12-06,Basic,Startup,Jaipur,Rajasthan,Organic,1800,Churned,2025-12-31,13.4,7
CUST-0031,2023-05-29,Basic,SMB,Visakhapatnam,Andhra Pradesh,Sales,1100,Active,,20.2,2
CUST-0032,2024-12-15,Enterprise,Enterprise,Kochi,Kerala,Referral,53700,Active,,155.5,8
CUST-0033,2023-01-17,Pro,SMB,Delhi,Delhi,Sales,6100,Active,,82.3,8
CUST-0034,2023-11-15,Basic,SMB,Jaipur,Rajasthan,Organic,2300,Active,,20.2,4
CUST-0035,2023-04-15,Basic,Startup,Kolkata,West Bengal,Organic,1700,Active,,24.1,4
CUST-0036,2023-11-27,Pro,SMB,Indore,Madhya Pradesh,Google Ads,5900,Churned,2025-11-23,36.3,10
CUST-0037,2023-03-15,Pro,SMB,Gurugram,Haryana,Referral,5300,Active,,82.9,0
CUST-0038,2025-01-02,Basic,Startup,Delhi,Delhi,Referral,2100,Active,,17.2,2
CUST-0039,2024-04-29,Enterprise,Enterprise,Noida,Uttar Pradesh,Sales,26600,Active,,188.7,6
CUST-0040,2024-05-23,Basic,SMB,Delhi,Delhi,Referral,1100,Active,,11.7,7
CUST-0041,2024-12-17,Basic,SMB,Chennai,Tamil Nadu,Organic,2400,Churned,2025-06-23,12.6,3
CUST-0042,2024-07-25,Basic,Startup,Bhopal,Madhya Pradesh,Referral,1100,Churned,2025-12-23,11.9,11
CUST-0043,2024-06-27,Basic,SMB,Kochi,Kerala,LinkedIn,1600,Active,,34.5,1
CUST-0044,2025-02-27,Enterprise,SMB,Mumbai,Maharashtra,LinkedIn,25100,Active,,171.0,3
CUST-0045,2025-01-15,Basic,SMB,Jaipur,Rajasthan,Google Ads,2400,Active,,26.6,4
CUST-0046,2025-11-04,Basic,Startup,Chandigarh,Chandigarh,Google Ads,2100,Churned,2025-12-20,27.3,8
CUST-0047,2023-12-23,Pro,SMB,Bhopal,Madhya Pradesh,LinkedIn,7500,Active,,50.1,5
CUST-0048,2025-08-10,Basic,SMB,Lucknow,Uttar Pradesh,Referral,1300,Active,,13.5,5
CUST-0049,2023-07-11,Pro,SMB,Ahmedabad,Gujarat,Organic,6600,Churned,2023-09-16,11.3,9
CUST-0050,2023-05-30,Pro,Enterprise,Visakhapatnam,Andhra Pradesh,Organic,10700,Active,,48.0,2
CUST-0051,2023-01-12,Enterprise,Enterprise,Delhi,Delhi,LinkedIn,39300,Active,,193.7,8
CUST-0052,2025-08-09,Basic,Startup,Delhi,Delhi,Referral,2000,Active,,34.6,5
CUST-0053,2025-06-25,Pro,SMB,Lucknow,Uttar Pradesh,Referral,12400,Active,,82.8,7
CUST-0054,2025-07-10,Basic,Startup,Kolkata,West Bengal,LinkedIn,2100,Active,,12.2,7
CUST-0055,2023-06-08,Pro,Startup,Jaipur,Rajasthan,Referral,9400,Churned,2023-11-29,10.8,4
CUST-0056,2024-03-14,Basic,Startup,Bhopal,Madhya Pradesh,Referral,1100,Churned,2025-06-07,16.8,11
CUST-0057,2023-02-10,Enterprise,Enterprise,Chandigarh,Chandigarh,Referral,48100,Active,,108.5,6
